County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Jefferson County, Texas",2013,252157,128880,123277,17398.833,16138.048,16390.205,17650.99,19163.932,18659.618,17398.833,15129.42,16390.205,17398.833,18659.618,16138.048,13364.321,9581.966,7060.396,6303.925,5043.14,4286.669
"Jim Hogg County, Texas",2013,5271,2786,2485,321.531,347.886,374.241,247.737,669.417,195.027,332.073,279.363,231.924,332.073,284.634,268.821,458.577,226.653,305.718,131.775,200.298,63.252
"Jim Wells County, Texas",2013,41217,20523,20694,3338.577,2967.624,3585.879,3214.926,2761.539,2596.671,2473.02,2266.935,2514.237,2555.454,2802.756,2514.237,2184.501,1813.548,1195.293,1112.859,659.472,700.689
"Johnson County, Texas",2013,152384,76330,76054,10514.496,11428.8,11885.952,10971.648,9295.424,9447.808,9752.576,10666.88,9904.96,11276.416,10971.648,10514.496,7314.432,6552.512,4571.52,3504.832,1980.992,1676.224
"Jones County, Texas",2013,20079,12837,7242,883.476,903.555,1044.108,1044.108,1526.004,1847.268,1606.32,1385.451,1807.11,1566.162,1526.004,1104.345,1144.503,722.844,742.923,421.659,441.738,381.501
"Karnes County, Texas",2013,14916,8913,6003,805.464,790.548,865.128,820.38,1267.86,1223.112,1223.112,1029.204,1014.288,1029.204,1059.036,954.624,715.968,477.312,566.808,447.48,357.984,268.488
"Kaufman County, Texas",2013,105220,51700,53520,7681.06,8312.38,8838.48,7681.06,5787.1,6418.42,7049.74,7049.74,8101.94,7575.84,7470.62,6418.42,5471.44,4103.58,2946.16,1893.96,1367.86,1157.42
"Kendall County, Texas",2013,34951,17181,17770,1817.452,2271.815,2621.325,2621.325,1677.648,1293.187,1467.942,1887.354,2551.423,2726.178,2691.227,2516.472,2761.129,2236.864,1258.236,978.628,803.873,803.873
"Kenedy County, Texas",2013,524,260,264,22.008,30.916,83.84,25.152,22.008,29.868,63.928,16.768,19.912,31.964,40.872,30.916,29.868,11.004,29.868,33.012,1.048,0
"Roberts County, Texas",2013,913,445,468,74.866,54.78,41.998,42.911,40.172,72.127,40.172,20.086,48.389,69.388,41.998,61.171,88.561,50.215,53.867,31.955,30.129,51.128
"Kerr County, Texas",2013,49696,24084,25612,2534.496,2584.192,2882.368,3230.24,2733.28,2435.104,2186.624,2186.624,2584.192,3031.456,3478.72,3528.416,3627.808,3478.72,2981.76,2136.928,1987.84,2037.536
"Kimble County, Texas",2013,4566,2295,2271,168.942,132.414,292.224,251.13,178.074,150.678,168.942,237.432,237.432,342.45,351.582,493.128,383.544,442.902,273.96,146.112,109.584,214.602
"King County, Texas",2013,321,171,150,8.025,11.877,12.84,18.939,6.099,29.853,23.112,20.865,16.05,43.014,42.051,29.853,20.865,9.951,6.099,11.877,2.889,6.099
"Kinney County, Texas",2013,3589,1875,1714,236.874,236.874,222.518,211.751,132.793,226.107,179.45,143.56,179.45,215.34,287.12,305.065,391.201,222.518,136.382,93.314,129.204,46.657
"Kleberg County, Texas",2013,32052,16364,15688,2403.9,2243.64,1955.172,3044.94,4359.072,2692.368,1762.86,1794.912,1602.6,1634.652,1730.808,1506.444,1570.548,1282.08,833.352,608.988,641.04,384.624
"Mercer County, Missouri",2013,3731,1859,1872,279.825,190.281,313.404,205.205,130.585,283.556,223.86,190.281,261.17,160.433,257.439,223.86,216.398,182.819,171.626,175.357,141.778,115.661
"Lamar County, Texas",2013,49751,23987,25764,3233.815,3233.815,3333.317,3532.321,3283.566,2686.554,2636.803,2736.305,3432.819,3432.819,3432.819,3283.566,2885.558,2636.803,2238.795,1542.281,1194.024,945.269
"Lamb County, Texas",2013,13921,6987,6934,1155.443,1030.154,1183.285,1099.759,849.181,751.734,793.497,709.971,821.339,877.023,877.023,723.892,793.497,528.998,626.445,459.393,306.262,334.104
"Lampasas County, Texas",2013,19937,9899,10038,1236.094,1056.661,1714.582,1395.59,1096.535,996.85,996.85,1196.22,1375.653,1535.149,1395.59,1295.905,1335.779,1136.409,857.291,558.236,418.677,378.803
"Nicholas County, Kentucky",2013,6921,3744,3177,546.759,380.655,609.048,657.495,470.628,442.944,581.364,449.865,484.47,429.102,297.603,276.84,429.102,339.129,207.63,138.42,152.262,34.605
"Lavaca County, Texas",2013,19351,9440,9911,1219.113,1393.272,1180.411,1044.954,870.795,1044.954,909.497,1006.252,1025.603,1296.517,1412.623,1470.676,1335.219,1161.06,851.444,890.146,599.881,619.232
"Lee County, Texas",2013,16603,8273,8330,1012.783,1029.386,1129.004,1477.667,946.371,763.738,830.15,996.18,1062.592,1129.004,1361.446,1295.034,879.959,979.577,514.693,431.678,498.09,282.251
"Leon County, Texas",2013,16802,8372,8430,1075.328,873.704,1159.338,1058.526,772.892,789.694,739.288,924.11,974.516,1075.328,1243.348,1310.556,1108.932,1243.348,957.714,537.664,436.852,487.258
"Liberty County, Texas",2013,76013,37320,38693,5244.897,5548.949,5016.858,5320.91,5320.91,5016.858,5016.858,5016.858,5244.897,5548.949,5624.962,4864.832,4332.741,3268.559,2204.377,1520.26,988.169,912.156
"Limestone County, Texas",2013,23417,12147,11270,1451.854,1498.688,1405.02,1639.19,1428.437,1686.024,1545.522,1639.19,1053.765,1615.773,1545.522,1662.607,1428.437,1334.769,772.761,772.761,444.923,468.34
"Lipscomb County, Texas",2013,3379,1772,1607,317.626,229.772,243.288,270.32,199.361,253.425,152.055,206.119,195.982,273.699,229.772,209.498,148.676,128.402,108.128,84.475,74.338,54.064
"Live Oak County, Texas",2013,11603,6323,5280,556.944,614.959,684.577,789.004,510.532,661.371,719.386,765.798,696.18,858.622,881.828,870.225,719.386,684.577,591.753,359.693,348.09,266.869
"Jones County, Texas",2013,19223,9275,9948,788.143,826.589,884.258,961.15,672.805,711.251,615.136,749.697,788.143,1057.265,1403.279,1576.286,1941.523,1979.969,1480.171,1249.495,884.258,672.805
"Loving County, Texas",2013,87,57,30,0,4.002,4.002,0,2.958,6.96,16.008,0,12.963,10.962,2.958,20.01,2.001,4.002,0,0,0,0
"Lubbock County, Texas",2013,282633,139747,142886,20066.943,19501.677,18371.145,23458.539,35611.758,22328.007,18653.778,16110.081,15262.182,16392.714,17240.613,15544.815,12435.852,10174.788,7065.825,6500.559,4239.495,3956.862
"Lynn County, Texas",2013,5841,2972,2869,426.393,514.008,379.665,502.326,216.117,315.414,327.096,280.368,367.983,455.598,449.757,373.824,315.414,262.845,221.958,192.753,181.071,64.251
"McCulloch County, Texas",2013,8302,4058,4244,514.724,614.348,572.838,556.234,282.268,473.214,473.214,423.402,514.724,456.61,556.234,564.536,713.972,381.892,489.818,290.57,265.664,157.738
"McLennan County, Texas",2013,237316,115430,121886,16849.436,16849.436,15900.172,20646.492,23968.916,16137.488,14476.276,13764.328,12815.064,14476.276,15188.224,14476.276,11391.168,9255.324,6407.532,5458.268,4271.688,4746.32
"McMullen County, Texas",2013,616,354,262,33.264,11.088,19.096,73.304,40.04,68.992,40.04,14.784,33.88,78.232,30.8,19.096,33.88,30.8,49.28,14.168,20.944,4.928
"Douglas County, Missouri",2013,13689,8248,5441,739.206,876.096,821.34,944.541,1437.345,1081.431,1177.254,876.096,930.852,670.761,725.517,821.34,643.383,588.627,492.804,355.914,260.091,246.402
"Marion County, Texas",2013,10439,5177,5262,490.633,595.023,490.633,595.023,354.926,417.56,574.145,553.267,626.34,814.242,866.437,855.998,876.876,762.047,626.34,407.121,260.975,271.414
"Martin County, Texas",2013,4956,2468,2488,386.568,426.216,391.524,431.172,307.272,262.668,287.448,277.536,307.272,332.052,376.656,203.196,312.228,203.196,123.9,89.208,49.56,188.328
"Mason County, Texas",2013,4034,2036,1998,217.836,189.598,197.666,217.836,229.938,189.598,165.394,80.68,294.482,225.904,238.006,455.842,233.972,286.414,411.468,157.326,153.292,92.782
"Matagorda County, Texas",2013,36639,18283,18356,2601.369,2674.647,2528.091,2784.564,2344.896,2125.062,2125.062,2125.062,1978.506,2454.813,2711.286,2344.896,2491.452,1795.311,1245.726,1099.17,696.141,549.585
"Maverick County, Texas",2013,54880,26823,28057,4884.32,5158.72,4939.2,5103.84,4006.24,3292.8,3292.8,3347.68,3512.32,3183.04,2963.52,2853.76,2359.84,1920.8,1426.88,1097.6,932.96,493.92
"Medina County, Texas",2013,46512,23878,22634,2930.256,2604.672,4046.544,3488.4,3023.28,2883.744,2558.16,2697.696,2883.744,3348.864,3581.424,3534.912,2465.136,1953.504,1767.456,1069.776,1023.264,697.68
"Menard County, Texas",2013,2213,1141,1072,119.502,115.076,296.542,181.466,68.603,119.502,75.242,55.325,123.928,112.863,177.04,115.076,146.058,154.91,104.011,46.473,79.668,119.502
"Midland County, Texas",2013,142289,70310,71979,11667.698,10529.386,10813.964,10244.808,10387.097,11525.409,9960.23,7825.895,8964.207,8964.207,10387.097,8679.629,7114.45,4553.248,3130.358,3272.647,2276.624,1992.046
"Milam County, Texas",2013,24503,12019,12484,1666.204,1935.737,1641.701,1641.701,980.12,1249.653,1592.695,1421.174,1200.647,1813.222,1690.707,1690.707,1617.198,1323.162,955.617,882.108,490.06,735.09
"Mills County, Texas",2013,4891,2370,2521,239.659,337.479,405.953,317.915,180.967,92.929,239.659,234.768,303.242,357.043,386.389,229.877,420.626,391.28,205.422,180.967,210.313,151.621
"Carroll County, Missouri",2013,9388,5714,3674,535.116,413.072,591.444,600.832,910.636,788.592,826.144,807.368,460.012,506.952,544.504,657.16,375.52,337.968,431.848,225.312,234.7,140.82
"Bourbon County, Kentucky",2013,19668,9738,9930,1219.416,1337.424,1199.748,1278.42,944.064,983.4,1022.736,1081.74,1199.748,1219.416,1475.1,1298.088,1376.76,1258.752,1003.068,786.72,511.368,491.7
"Montgomery County, Texas",2013,472162,233843,238319,33995.664,35412.15,38245.122,33523.502,26913.234,28801.882,31162.692,33051.34,33523.502,34939.988,34939.988,30218.368,25496.748,18886.48,12748.374,8498.916,5665.944,5193.782
"Moore County, Texas",2013,22029,11346,10683,2004.639,1916.523,2026.668,1740.291,1542.03,1564.059,1409.856,1542.03,1321.74,1365.798,1343.769,991.305,1123.479,506.667,550.725,484.638,374.493,220.29
"Yalobusha County, Mississippi",2013,12869,6320,6549,810.747,836.485,797.878,862.223,682.057,656.319,694.926,694.926,591.974,1029.52,849.354,1016.651,746.402,887.961,476.153,489.022,244.511,476.153
"Motley County, Texas",2013,1182,661,521,50.826,66.192,107.562,158.388,70.92,50.826,68.556,47.28,69.738,96.924,66.192,39.006,67.374,68.556,49.644,44.916,47.28,11.82
"Nacogdoches County, Texas",2013,65085,31068,34017,4555.95,3970.185,4295.61,6833.925,8851.56,4230.525,3579.675,2993.91,3579.675,3579.675,3840.015,3970.185,2928.825,2343.06,1887.465,1431.87,1171.53,1041.36
"Navarro County, Texas",2013,47883,23715,24168,3495.459,3303.927,3782.757,3734.874,2825.097,2777.214,2633.565,2729.331,3303.927,3160.278,3303.927,3160.278,2681.448,2442.033,1675.905,1149.192,909.777,861.894
"Newton County, Texas",2013,14340,7267,7073,803.04,989.46,860.4,1061.16,874.74,774.36,889.08,903.42,788.7,1075.5,989.46,1075.5,903.42,774.36,602.28,487.56,329.82,172.08
"Morgan County, Ohio",2013,15087,7532,7555,1086.264,1025.916,1071.177,1146.612,995.742,709.089,844.872,995.742,950.481,920.307,950.481,950.481,965.568,905.22,528.045,452.61,196.131,407.349
"Nueces County, Texas",2013,344257,169074,175183,24097.99,24786.504,24786.504,24786.504,25819.275,25130.761,22720.962,20999.677,20999.677,22720.962,24097.99,22032.448,18589.878,13426.023,9639.196,8262.168,5852.369,5163.855
"Ochiltree County, Texas",2013,10467,5377,5090,962.964,1109.502,753.624,805.959,669.888,711.756,669.888,837.36,533.817,659.421,659.421,607.086,418.68,303.543,272.142,167.472,188.406,136.071
"Oldham County, Texas",2013,2064,1008,1056,105.264,150.672,214.656,212.592,88.752,117.648,111.456,92.88,121.776,138.288,130.032,177.504,103.2,63.984,97.008,59.856,28.896,47.472
"Orange County, Texas",2013,82372,40861,41511,5354.18,5436.552,6013.156,5766.04,5189.436,4942.32,4859.948,5189.436,5271.808,6013.156,6260.272,5518.924,4777.576,3541.996,2965.392,2471.16,1482.696,1235.58
"Palo Pinto County, Texas",2013,28017,13812,14205,1905.156,1905.156,1905.156,1849.122,1681.02,1484.901,1484.901,1344.816,1849.122,1961.19,2157.309,1961.19,1765.071,1540.935,1288.782,896.544,560.34,476.289
"Panola County, Texas",2013,23877,11560,12317,1552.005,1862.406,1599.759,1432.62,1480.374,1289.358,1575.882,1504.251,1289.358,1552.005,1695.267,1647.513,1575.882,1313.235,835.695,716.31,525.294,382.032
"Parker County, Texas",2013,118478,59808,58670,7108.68,8056.504,8885.85,8767.372,6990.202,6397.812,6753.246,7701.07,7938.026,9596.718,9478.24,7938.026,7345.636,5449.988,4028.252,2961.95,1777.17,1303.258
"Parmer County, Texas",2013,10159,5214,4945,863.515,853.356,863.515,822.879,690.812,670.494,640.017,660.335,528.268,670.494,650.176,568.904,446.996,325.088,365.724,203.18,152.385,193.021
"Pecos County, Texas",2013,15590,8786,6804,1200.43,1060.12,966.58,1060.12,904.22,1200.43,1184.84,1169.25,966.58,1153.66,1122.48,826.27,904.22,623.6,467.7,420.93,202.67,171.49
"Polk County, Texas",2013,45620,24416,21204,2554.72,2554.72,2737.2,2645.96,2554.72,2509.1,2691.58,2645.96,2874.06,3102.16,3284.64,3239.02,3330.26,2874.06,2554.72,1368.6,1277.36,729.92
"Potter County, Texas",2013,121526,62298,59228,10208.184,9722.08,8749.872,8142.242,8992.924,9600.554,8749.872,7899.19,7534.612,8020.716,8020.716,6440.878,6076.3,4010.358,3038.15,2552.046,1822.89,1944.416
"Presidio County, Texas",2013,7579,3691,3888,598.741,530.53,659.373,598.741,227.37,272.844,477.477,409.266,500.214,485.056,416.845,485.056,469.898,424.424,409.266,212.212,204.633,212.212
"Rains County, Texas",2013,10989,5629,5360,549.45,736.263,582.417,692.307,461.538,549.45,483.516,637.362,571.428,791.208,857.142,593.406,1087.911,736.263,736.263,538.461,241.758,153.846
"Randall County, Texas",2013,123062,60105,62957,8368.216,8737.402,8368.216,8983.526,9229.65,8983.526,8368.216,8245.154,7014.534,7875.968,8491.278,7875.968,6891.472,4922.48,3937.984,2953.488,1968.992,1845.93
"Bennett County, South Dakota",2013,3441,1824,1617,220.224,330.336,264.957,244.311,251.193,203.019,223.665,230.547,209.901,278.721,165.168,268.398,147.963,147.963,82.584,51.615,86.025,30.969
"Real County, Texas",2013,3348,1715,1633,143.964,87.048,204.228,311.364,120.528,50.22,100.44,167.4,184.14,207.576,194.184,281.232,207.576,251.1,281.232,251.1,150.66,157.356
"Red River County, Texas",2013,12709,6084,6625,635.45,800.667,762.54,737.122,521.069,635.45,711.704,749.831,800.667,927.757,876.921,876.921,965.884,902.339,686.286,419.397,393.979,317.725
"Reeves County, Texas",2013,13775,7845,5930,909.15,716.3,895.375,1170.875,936.7,1157.1,1046.9,964.25,991.8,922.925,826.5,895.375,633.65,427.025,468.35,399.475,151.525,261.725
"Pembina County, North Dakota",2013,7327,3633,3694,432.293,381.004,564.179,505.563,490.909,307.734,359.023,381.004,446.947,476.255,556.852,512.89,432.293,395.658,461.601,307.734,153.867,161.194
"Motley County, Texas",2013,1030,510,520,71.07,44.29,85.49,85.49,28.84,64.89,55.62,33.99,51.5,77.25,98.88,45.32,128.75,51.5,28.84,35.02,20.6,21.63
"Robertson County, Texas",2013,16574,8244,8330,1143.606,1176.754,1093.884,1243.05,928.144,778.978,994.44,613.238,1276.198,1077.31,1143.606,1193.328,911.57,1044.162,596.664,447.498,397.776,480.646
"Wilson County, North Carolina",2013,81020,39870,41150,5509.36,6805.68,7210.78,6157.52,3402.84,4375.08,5752.42,6724.66,5752.42,6400.58,5752.42,4537.12,4132.02,3078.76,2187.54,1377.34,891.22,810.2
"Marion County, Texas",2013,10439,5231,5208,636.779,615.901,814.242,741.169,615.901,427.999,469.755,605.462,636.779,636.779,720.291,678.535,751.608,699.413,438.438,386.243,240.097,334.048
"Rusk County, Texas",2013,53508,28268,25240,3424.512,3156.972,3638.544,3424.512,3478.02,3692.052,3478.02,2996.448,3799.068,3745.56,4013.1,3531.528,3156.972,2461.368,1926.288,1284.192,1123.668,1177.176
"Sabine County, Texas",2013,10604,5237,5367,487.784,551.408,593.824,519.596,625.636,381.744,445.368,487.784,455.972,689.26,742.28,890.736,880.132,827.112,869.528,424.16,413.556,307.516
"San Augustine County, Texas",2013,8855,4204,4651,433.895,336.49,867.79,478.17,380.765,371.91,460.46,265.65,531.3,646.415,637.56,593.285,726.11,690.69,504.735,398.475,283.36,230.23
"Elmore County, Idaho",2013,26669,13232,13437,1573.471,1466.795,2266.865,1706.816,1413.457,1253.443,1173.436,1546.802,1466.795,1600.14,2346.872,2053.513,1946.837,1626.809,1306.781,826.739,693.394,400.035
"San Patricio County, Texas",2013,65210,32479,32731,4825.54,5216.8,4825.54,5086.38,4108.23,4043.02,3912.6,3716.97,4303.86,4499.49,4434.28,3977.81,3586.55,3195.29,1695.46,1630.25,1238.99,847.73
"San Saba County, Texas",2013,6050,3275,2775,344.85,278.3,441.65,350.9,338.8,484,272.25,296.45,435.6,381.15,381.15,429.55,405.35,411.4,248.05,151.25,229.9,175.45
"Schleicher County, Texas",2013,3316,1640,1676,265.28,301.756,285.176,295.124,222.172,149.22,112.744,245.384,172.432,185.696,195.644,225.488,195.644,152.536,149.22,76.268,53.056,36.476
"Scurry County, Texas",2013,17014,9045,7969,1276.05,1276.05,1054.868,1088.896,1276.05,1054.868,1156.952,1207.994,833.686,1259.036,1207.994,1122.924,884.728,646.532,612.504,476.392,306.252,306.252
"Shackelford County, Texas",2013,3362,1630,1732,201.72,144.566,292.494,228.616,191.634,158.014,134.48,225.254,194.996,235.34,272.322,255.512,221.892,218.53,97.498,147.928,84.05,53.792
"Grayson County, Kentucky",2013,25677,12602,13075,1900.098,1823.067,2131.191,1540.62,1823.067,1386.558,1412.235,1489.266,1617.651,1694.682,1746.036,1412.235,1694.682,1181.142,1155.465,795.987,410.832,487.863
"Sherman County, Texas",2013,3048,1567,1481,195.072,292.608,237.744,292.608,185.928,85.344,182.88,198.12,225.552,262.128,201.168,140.208,152.4,131.064,88.392,70.104,48.768,60.96
"Smith County, Texas",2013,212227,102474,109753,15068.117,14643.663,15492.571,15492.571,16129.252,14431.436,13158.074,12521.393,12945.847,13370.301,13794.755,12945.847,11248.031,8913.534,7852.399,5942.356,4032.313,4244.54
"Somervell County, Texas",2013,8537,4199,4338,486.609,520.757,648.812,751.256,452.461,401.239,503.683,495.146,563.442,665.886,554.905,665.886,460.998,367.091,409.776,196.351,281.721,110.981
"Starr County, Texas",2013,61351,29707,31644,5828.345,5828.345,5460.239,5705.643,4724.027,3987.815,3803.762,4110.517,3681.06,3435.656,3128.901,2638.093,2454.04,2208.636,1533.775,1411.073,858.914,552.159
"Stephens County, Texas",2013,9493,5012,4481,598.059,787.919,493.636,588.566,683.496,465.157,607.552,607.552,493.636,579.073,626.538,569.58,579.073,503.129,493.636,275.297,303.776,227.832
"Sterling County, Texas",2013,1358,725,633,115.43,103.208,77.406,139.874,55.678,73.332,77.406,38.024,70.616,93.702,157.528,118.146,77.406,65.184,10.864,36.666,9.506,39.382
"Sully County, South Dakota",2013,1363,698,665,72.239,73.602,114.492,85.869,12.267,53.157,66.787,65.424,88.595,109.04,81.78,91.321,100.862,91.321,68.15,70.876,57.246,61.335
"Sargent County, North Dakota",2013,4058,2008,2050,280.002,353.046,348.988,308.408,194.784,211.016,292.176,275.944,215.074,275.944,316.524,271.886,186.668,215.074,89.276,105.508,73.044,44.638
"Swisher County, Texas",2013,7807,4189,3618,624.56,687.016,382.543,476.227,679.209,452.806,460.613,405.964,343.508,437.192,585.525,413.771,507.455,366.929,296.666,288.859,226.403,156.14
"Tarrant County, Texas",2013,1848423,906704,941719,142328.571,144176.994,142328.571,131238.033,125692.764,138631.725,134934.879,133086.456,133086.456,133086.456,127541.187,103511.688,86875.881,59149.536,40665.306,29574.768,22181.076,20332.653
"Taylor County, Texas",2013,132588,64661,67927,9811.512,9413.748,8220.456,10341.864,14186.916,10209.276,8220.456,6496.812,7690.104,7955.28,8485.632,7557.516,6364.224,5170.932,3977.64,3845.052,2519.172,2121.408
"Terrell County, Texas",2013,837,419,418,35.154,26.784,35.154,41.85,8.37,62.775,35.154,60.264,99.603,44.361,57.753,50.22,83.7,51.894,45.198,32.643,31.806,34.317
"Charlotte County, Virginia",2013,12644,6830,5814,960.944,935.656,935.656,998.876,670.132,872.436,897.724,594.268,771.284,1049.452,771.284,923.012,467.828,480.472,455.184,366.676,278.168,202.304
"Gilliam County, Oregon",2013,1623,822,801,86.019,105.495,60.051,102.249,82.773,68.166,66.543,87.642,102.249,102.249,116.856,139.578,84.396,120.102,110.364,66.543,55.182,66.543
"Titus County, Texas",2013,32360,15984,16376,2815.32,2588.8,2718.24,2491.72,2459.36,1876.88,2038.68,2071.04,2071.04,2071.04,1876.88,1650.36,1747.44,1262.04,906.08,711.92,614.84,420.68
"Tom Green County, Texas",2013,111969,55065,56904,7725.861,7837.83,6494.202,8621.613,10749.024,8733.582,7054.047,6046.326,5822.388,6830.109,7389.954,6942.078,5934.357,4926.636,3247.101,3359.07,2351.349,1679.535
"Travis County, Texas",2013,1063248,536210,527038,76553.856,72300.864,64858.128,68047.872,93565.824,106324.8,96755.568,86123.088,77617.104,70174.368,65921.376,56352.144,45719.664,29770.944,18075.216,13822.224,10632.48,9569.232
"Trinity County, Texas",2013,14460,6840,7620,723,751.92,1171.26,853.14,535.02,592.86,578.4,751.92,809.76,954.36,1113.42,1142.34,1098.96,1113.42,809.76,723,433.8,303.66
"Tyler County, Texas",2013,21619,11808,9811,1080.95,1167.426,1253.902,1297.14,1383.616,1340.378,1275.521,1361.997,1275.521,1513.33,1513.33,1405.235,1491.711,1383.616,1059.331,907.998,453.999,432.38
"Upshur County, Texas",2013,39640,19590,20050,2536.96,2536.96,2933.36,2893.72,2061.28,2100.92,2299.12,2219.84,2378.4,2774.8,3131.56,2774.8,2655.88,2180.2,1466.68,1268.48,673.88,673.88
"Upton County, Texas",2013,3323,1604,1719,292.424,269.163,239.256,212.672,162.827,252.548,209.349,146.212,225.964,189.411,309.039,176.119,192.734,149.535,96.367,79.752,56.491,66.46
"Uvalde County, Texas",2013,26578,13018,13560,2046.506,2126.24,2126.24,2179.396,1833.882,1514.946,1541.524,1860.46,1169.432,1594.68,1594.68,1382.056,1594.68,1222.588,903.652,664.45,611.294,611.294
"Val Verde County, Texas",2013,48730,24486,24244,4093.32,4336.97,3703.48,3800.94,3800.94,3362.37,3021.26,3167.45,3021.26,2826.34,2631.42,2485.23,2339.04,1803.01,1608.09,1023.33,877.14,828.41
"Van Zandt County, Texas",2013,52515,25855,26660,3045.87,3308.445,3781.08,3571.02,2573.235,2625.75,2625.75,2940.84,3360.96,3676.05,3886.11,3886.11,3413.475,2940.84,2730.78,1680.48,1365.39,1102.815
"Victoria County, Texas",2013,88068,43038,45030,6517.032,6781.236,6164.76,6164.76,5724.42,5900.556,5636.352,5548.284,4755.672,5724.42,6252.828,5636.352,5107.944,3698.856,2818.176,2553.972,1497.156,1321.02
"Walker County, Texas",2013,68110,40561,27549,3064.95,2928.73,2996.84,5857.46,9262.96,5108.25,4835.81,4903.92,4835.81,4767.7,5040.14,4359.04,2996.84,2451.96,1838.97,1294.09,953.54,681.1
"Waller County, Texas",2013,43836,22019,21817,3068.52,2849.34,2937.012,4909.632,5435.664,2235.636,2279.472,2323.308,2498.652,2849.34,2937.012,2673.996,2191.8,1402.752,1446.588,701.376,394.524,745.212
"Ward County, Texas",2013,10836,5370,5466,780.192,801.864,877.716,888.552,606.816,660.996,671.832,585.144,671.832,704.34,726.012,769.356,520.128,379.26,433.44,249.228,270.9,238.392
"Washington County, Texas",2013,33863,16914,16949,2065.643,2167.232,1896.328,3149.259,1964.054,1659.287,1591.561,1591.561,1997.917,2336.547,2539.725,2268.821,2302.684,1760.876,1523.835,1286.794,948.164,812.712
"Webb County, Texas",2013,254829,124036,130793,25228.071,24463.584,24718.413,23444.268,19367.004,17583.201,17328.372,17838.03,16818.714,14525.253,13251.108,10447.989,8919.015,6880.383,4586.922,3312.777,2803.119,2548.29
"Wharton County, Texas",2013,41185,20182,21003,2924.135,3212.43,2924.135,3006.505,2512.285,2553.47,2429.915,2429.915,2265.175,2800.58,2841.765,2677.025,2429.915,1894.51,1317.92,1111.995,988.44,823.7
"Wheeler County, Texas",2013,5526,2777,2749,419.976,469.71,303.93,292.878,298.404,353.664,320.508,287.352,309.456,331.56,425.502,480.762,276.3,298.404,254.196,176.832,138.15,93.942
"Wichita County, Texas",2013,131358,67569,63789,8800.986,8932.344,7618.764,10114.566,12873.084,10245.924,8669.628,7881.48,7093.332,8406.912,8932.344,7750.122,6567.9,4597.53,4334.814,3678.024,2364.444,2495.802
"Wilbarger County, Texas",2013,13371,6715,6656,922.599,1002.825,788.889,1123.164,909.228,748.776,655.179,815.631,628.437,949.341,1002.825,1016.196,722.034,494.727,641.808,414.501,280.791,254.049
"Willacy County, Texas",2013,22039,11886,10153,1476.613,1432.535,1763.12,1917.393,1917.393,1674.964,1586.808,1608.847,1344.379,1322.34,1168.067,1146.028,991.755,749.326,705.248,484.858,352.624,352.624
"Williamson County, Texas",2013,441445,217208,224237,33549.82,37522.825,34432.71,30018.26,23396.585,29576.815,35315.6,38405.715,34874.155,32225.485,28252.48,22955.14,19865.025,14567.685,11036.125,7063.12,4855.895,4414.45
"Wilson County, Texas",2013,43753,21791,21962,2581.427,3106.463,3456.487,3325.228,2187.65,2143.897,2362.662,2668.933,3150.216,3456.487,3500.24,2931.451,3062.71,2143.897,1268.837,1137.578,656.295,568.789
"Winkler County, Texas",2013,7260,3630,3630,617.1,704.22,479.16,551.76,479.16,457.38,442.86,442.86,421.08,529.98,493.68,355.74,421.08,290.4,188.76,210.54,87.12,87.12
"Wise County, Texas",2013,59894,30222,29672,3893.11,4192.58,4551.944,4312.368,3473.852,3653.534,3473.852,3473.852,4132.686,4731.626,4731.626,4072.792,3413.958,2755.124,2096.29,1557.244,718.728,658.834
"Wood County, Texas",2013,42089,20776,21313,2146.539,2441.162,2399.073,2483.251,2104.45,1809.827,1936.094,1936.094,2272.806,2609.518,2904.141,3114.586,3451.298,3493.387,2735.785,2146.539,1178.492,968.047
"Yoakum County, Texas",2013,7998,3913,4085,727.818,663.834,775.806,695.826,319.92,559.86,471.882,367.908,751.812,471.882,463.884,479.88,311.922,295.926,183.954,255.936,79.98,103.974
"Young County, Texas",2013,18395,9124,9271,1232.465,1122.095,1416.415,1103.7,956.54,993.33,919.75,901.355,1030.12,1269.255,1453.205,1710.735,846.17,1030.12,699.01,643.825,515.06,533.455
"Zapata County, Texas",2013,14164,7167,6997,1572.204,1430.564,1076.464,1062.3,1203.94,963.152,963.152,849.84,779.02,807.348,708.2,623.216,651.544,538.232,424.92,141.64,198.296,169.968
"Zavala County, Texas",2013,11849,5885,5964,1066.41,1279.692,710.94,1030.863,995.316,722.789,675.393,616.148,734.638,651.695,639.846,592.45,663.544,379.168,391.017,331.772,260.678,94.792
"Bottineau County, North Dakota",2013,6529,3418,3111,587.61,535.378,750.835,502.733,319.921,411.327,430.914,424.385,346.037,313.392,372.153,319.921,417.856,280.747,169.754,156.696,78.348,124.051
"Box Elder County, Utah",2013,50160,25300,24860,4765.2,4915.68,4464.24,3962.64,2909.28,3210.24,3410.88,3511.2,2457.84,2808.96,3160.08,2708.64,2106.72,1655.28,1454.64,1053.36,852.72,752.4
