County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Lowndes County, Alabama",2009,12632,5862,6770,871.608,896.872,947.4,1035.824,821.08,720.024,555.808,707.392,985.296,972.664,934.768,745.288,707.392,543.176,416.856,277.904,290.536,164.216
"Macon County, Alabama",2009,22304,10248,12056,1182.112,1137.504,1561.28,2564.96,3144.864,825.248,892.16,959.072,1382.848,1382.848,1449.76,1382.848,1092.896,1092.896,557.6,713.728,624.512,356.864
"Madison County, Alabama",2009,314047,153350,160697,20099.008,21355.196,21355.196,23239.478,21669.243,21355.196,19156.867,21669.243,24495.666,26379.948,21983.29,17900.679,15074.256,11619.739,10363.551,7851.175,4710.705,3768.564
"Marengo County, Alabama",2009,21210,10018,11192,1421.07,1081.71,1972.53,1654.38,1357.44,1039.29,975.66,1230.18,1590.75,1527.12,1548.33,1315.02,1293.81,1060.5,742.35,615.09,360.57,402.99
"Marion County, Alabama",2009,29415,14523,14892,1735.485,1764.9,1706.07,1794.315,1588.41,1911.975,1588.41,1853.145,2176.71,2206.125,2029.635,1941.39,1823.73,1588.41,1323.675,1000.11,853.035,558.885
"Marshall County, Alabama",2009,87925,43166,44759,7297.775,5978.9,6066.825,5715.125,4835.875,5803.05,5539.275,5451.35,6506.45,6330.6,5627.2,5715.125,4572.1,3956.625,2989.45,2286.05,1670.575,1582.65
"Mobile County, Alabama",2009,405331,193903,211428,29589.163,28778.501,29589.163,29589.163,27967.839,29994.494,25941.184,24725.191,27562.508,29994.494,27967.839,25130.522,19455.888,14591.916,12159.93,9727.944,7701.289,6079.965
"Monroe County, Alabama",2009,22790,11041,11749,1435.77,1504.14,1868.78,1754.83,1344.61,1162.29,1276.24,1344.61,1640.88,1709.25,1686.46,1367.4,1367.4,843.23,888.81,592.54,455.8,546.96
"Montgomery County, Alabama",2009,224369,106825,117544,16378.937,15930.199,14583.985,17052.044,18622.627,17500.782,15032.723,14135.247,15257.092,15705.83,14583.985,12564.664,10096.605,7404.177,6057.963,5160.487,4263.011,3814.273
"Morgan County, Alabama",2009,115197,56523,58674,7718.199,7833.396,7948.593,7487.805,6796.623,7142.214,7027.017,8063.79,8639.775,8870.169,8063.79,7142.214,6220.638,5068.668,3801.501,3225.516,2073.546,1843.152
"Perry County, Alabama",2009,10689,4921,5768,812.364,855.12,726.852,1122.345,737.541,555.828,438.249,491.694,748.23,716.163,694.785,652.029,491.694,406.182,448.938,374.115,160.335,235.158
"Pickens County, Alabama",2009,19528,9185,10343,1171.68,1152.152,1523.184,1347.432,1269.32,1093.568,976.4,1210.736,1288.848,1445.072,1406.016,1425.544,937.344,995.928,703.008,781.12,371.032,390.56
"Pike County, Alabama",2009,30136,14298,15838,1958.84,1717.752,1898.568,3164.28,4038.224,1597.208,1416.392,1958.84,1627.344,1988.976,1808.16,1808.16,1356.12,1295.848,843.808,662.992,572.584,421.904
"Randolph County, Alabama",2009,22504,11036,11468,1305.232,1327.736,1575.28,1620.288,1372.744,1305.232,1102.696,1575.28,1462.76,1620.288,1620.288,1732.808,1125.2,1080.192,877.656,765.136,697.624,292.552
"Russell County, Alabama",2009,50029,23726,26303,3351.943,3201.856,3552.059,3301.914,3301.914,3902.262,3401.972,2601.508,3902.262,3652.117,3351.943,2851.653,2701.566,2051.189,1700.986,1350.783,900.522,900.522
"St. Clair County, Alabama",2009,77585,38949,38636,4965.44,5120.61,5043.025,5198.195,4655.1,5353.365,5430.95,5120.61,6284.385,5818.875,5508.535,5120.61,4112.005,3646.495,2327.55,1939.625,1163.775,931.02
"Shelby County, Alabama",2009,182996,89888,93108,13541.704,13358.708,13175.712,11711.744,10430.772,13175.712,14090.692,14456.684,14822.676,14456.684,13175.712,11345.752,8600.812,5672.876,4025.912,2927.936,2012.956,1829.96
"Sumter County, Alabama",2009,13267,6018,7249,822.554,663.35,1207.297,1167.496,1194.03,835.821,636.816,689.884,796.02,955.224,955.224,849.088,530.68,451.078,437.811,437.811,252.073,371.476
"Talladega County, Alabama",2009,80190,39214,40976,4971.78,5372.73,5132.16,5693.49,5132.16,5372.73,4811.4,5934.06,5132.16,5934.06,6014.25,5372.73,4330.26,3287.79,2806.65,1924.56,1844.37,1202.85
"Tallapoosa County, Alabama",2009,40778,19568,21210,2446.68,2202.012,2895.238,2650.57,2405.902,2324.346,2161.234,2691.348,2569.014,2936.016,2936.016,2732.126,2732.126,2202.012,1590.342,1590.342,774.782,1019.45
"Tuscaloosa County, Alabama",2009,178754,86117,92637,11440.256,11797.764,10725.24,15551.598,24668.052,11619.01,10367.732,11261.502,10725.24,11619.01,11976.518,10188.978,7328.914,5720.128,4647.604,3932.588,3217.572,2145.048
